FECHA,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LIMA REGION,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI,PERÚ
2020-05-23,8.0,141.0,9.0,146.0,36.0,50.0,346.0,32.0,6.0,23.0,92.0,38.0,187.0,201.0,2794.0,258.0,152.0,32.0,36.0,45.0,543.0,10.0,20.0,52.0,34.0,125.0,5416.0
2020-05-24,5.0,52.0,0.0,35.0,6.0,7.0,72.0,6.0,7.0,7.0,20.0,21.0,68.0,96.0,923.0,59.0,96.0,1.0,18.0,25.0,199.0,2.0,15.0,2.0,16.0,36.0,1794.0
2020-05-25,50.0,179.0,22.0,192.0,27.0,33.0,412.0,51.0,12.0,30.0,248.0,51.0,269.0,321.0,3840.0,303.0,143.0,39.0,32.0,20.0,485.0,35.0,28.0,43.0,47.0,77.0,6989.0
2020-05-26,22.0,187.0,2.0,128.0,24.0,31.0,496.0,30.0,9.0,21.0,170.0,53.0,182.0,460.0,3814.0,286.0,273.0,21.0,27.0,30.0,420.0,3.0,63.0,14.0,45.0,197.0,7008.0
2020-05-27,19.0,227.0,8.0,186.0,53.0,20.0,509.0,37.0,14.0,33.0,210.0,90.0,182.0,508.0,4020.0,257.0,152.0,27.0,39.0,26.0,458.0,22.0,65.0,11.0,32.0,176.0,7381.0
2020-05-28,25.0,242.0,9.0,186.0,30.0,32.0,511.0,47.0,10.0,28.0,132.0,70.0,309.0,316.0,3378.0,202.0,85.0,54.0,17.0,22.0,375.0,16.0,67.0,34.0,57.0,210.0,6464.0
2020-05-29,13.0,175.0,9.0,173.0,17.0,20.0,358.0,57.0,11.0,33.0,297.0,77.0,163.0,242.0,3000.0,239.0,185.0,53.0,16.0,4.0,295.0,42.0,52.0,11.0,49.0,172.0,5763.0
2020-05-30,14.0,146.0,9.0,96.0,51.0,18.0,250.0,19.0,11.0,13.0,108.0,48.0,175.0,326.0,2438.0,194.0,110.0,23.0,11.0,12.0,217.0,17.0,64.0,22.0,34.0,207.0,4633.0
2020-05-31,12.0,34.0,3.0,20.0,4.0,5.0,142.0,1.0,3.0,14.0,28.0,15.0,100.0,60.0,1300.0,102.0,291.0,2.0,1.0,3.0,25.0,1.0,39.0,3.0,10.0,50.0,2268.0
2020-06-01,14.0,138.0,6.0,63.0,33.0,30.0,189.0,25.0,12.0,19.0,178.0,47.0,226.0,154.0,1937.0,164.0,175.0,42.0,8.0,33.0,508.0,7.0,97.0,14.0,54.0,114.0,4287.0
2020-06-02,14.0,139.0,13.0,99.0,27.0,23.0,187.0,23.0,5.0,32.0,195.0,67.0,101.0,172.0,1811.0,125.0,167.0,37.0,10.0,10.0,353.0,15.0,106.0,15.0,42.0,39.0,3827.0
2020-06-03,37.0,119.0,11.0,55.0,18.0,34.0,157.0,14.0,29.0,39.0,131.0,47.0,97.0,136.0,852.0,223.0,90.0,40.0,14.0,33.0,279.0,19.0,67.0,14.0,50.0,58.0,2663.0
2020-06-04,37.0,113.0,18.0,51.0,40.0,21.0,215.0,30.0,15.0,85.0,101.0,31.0,178.0,183.0,1768.0,147.0,199.0,106.0,22.0,29.0,500.0,27.0,79.0,15.0,47.0,61.0,4118.0
2020-06-05,50.0,84.0,12.0,119.0,18.0,56.0,244.0,18.0,7.0,46.0,107.0,28.0,126.0,89.0,2617.0,241.0,333.0,26.0,5.0,13.0,472.0,7.0,71.0,22.0,83.0,153.0,5047.0
2020-06-06,38.0,112.0,13.0,138.0,29.0,45.0,269.0,40.0,11.0,15.0,150.0,50.0,157.0,156.0,2355.0,231.0,190.0,23.0,2.0,8.0,448.0,7.0,68.0,16.0,63.0,172.0,4806.0
2020-06-07,12.0,103.0,5.0,34.0,10.0,14.0,98.0,21.0,13.0,14.0,78.0,42.0,46.0,115.0,1627.0,170.0,30.0,8.0,2.0,11.0,76.0,2.0,55.0,3.0,10.0,51.0,2650.0
2020-06-08,58.0,169.0,10.0,107.0,41.0,44.0,279.0,17.0,13.0,44.0,159.0,86.0,192.0,180.0,2148.0,185.0,177.0,56.0,7.0,21.0,346.0,18.0,158.0,13.0,60.0,198.0,4786.0
2020-06-09,75.0,128.0,14.0,126.0,32.0,46.0,213.0,37.0,16.0,45.0,153.0,58.0,260.0,200.0,2589.0,270.0,131.0,40.0,4.0,27.0,472.0,23.0,109.0,16.0,71.0,209.0,5364.0
2020-06-10,61.0,134.0,5.0,145.0,21.0,49.0,418.0,35.0,17.0,37.0,190.0,98.0,327.0,256.0,2574.0,285.0,223.0,63.0,5.0,28.0,426.0,31.0,147.0,8.0,70.0,117.0,5770.0
2020-06-11,75.0,220.0,47.0,157.0,70.0,99.0,435.0,97.0,23.0,145.0,206.0,178.0,301.0,310.0,2808.0,437.0,307.0,50.0,29.0,42.0,588.0,81.0,258.0,61.0,118.0,210.0,7352.0
2020-06-12,72.0,206.0,26.0,134.0,49.0,85.0,337.0,55.0,24.0,74.0,219.0,89.0,249.0,306.0,1972.0,389.0,226.0,38.0,30.0,17.0,468.0,25.0,221.0,16.0,72.0,151.0,5550.0
2020-06-13,67.0,146.0,3.0,174.0,60.0,55.0,199.0,19.0,12.0,51.0,153.0,69.0,205.0,204.0,1942.0,251.0,169.0,38.0,13.0,35.0,223.0,15.0,123.0,9.0,54.0,239.0,4528.0
